Channel,Frequency,Mode,Step,Delay,Alpha tag,Priority,Lock out
278,122.35,,0,0,,No,No
279,130.1,,0,0,,No,No
280,130.125,,0,0,,No,No
281,120.4,,0,0,,No,No
282,119.725,,0,0,,No,No
283,127.525,,0,0,,No,No
284,118.7,,0,0,,No,No
285,134.975,,0,0,,No,No
286,124.475,,0,0,,No,No
287,118.5,,0,0,,No,No
288,121.7,,0,0,,No,No
289,121.85,,0,0,,No,No
290,121.9,,0,0,,No,No
291,125.625,,0,0,,No,No
292,127.525,,0,0,,No,No
293,115.1,,0,0,,No,No
294,113.75,,0,0,,No,No
295,121.9375,,0,0,,No,No
296,128.075,,0,0,,No,No
297,134.975,,0,0,,No,No
298,121.975,,0,0,,No,No
299,131.75,,0,0,,No,No
300,131.6,,0,0,,No,No
301,131.45,,0,0,,No,No
302,131.475,,0,0,,No,No
303,130.175,,0,0,,No,No
304,131.925,,0,0,,No,No
305,131.8,,0,0,,No,No
306,131.55,,0,0,,No,No
307,130.15,,0,0,,No,No
308,130.6,,0,0,,No,No
309,131.65,,0,0,,No,No
310,131.425,,0,0,,No,No
311,123.65,,0,0,,No,No
312,132.65,,0,0,,No,No
313,130.7,,0,0,,No,No
314,118.4,,0,0,,No,No
315,118.075,,0,0,,No,No
316,129.45,,0,0,,No,No
317,128.025,,0,0,,No,No
318,121.825,,0,0,,No,No
319,136.35,,0,0,,No,No
320,131.85,,0,0,,No,No
321,130.625,,0,0,,No,No
322,131.4,,0,0,,No,No
323,131.475,,0,0,,No,No
324,136.825,,0,0,,No,No
325,131.75,,0,0,,No,No
326,118.475,,0,0,,No,No
327,118.825,,0,0,,No,No
328,119.775,,0,0,,No,No
329,120.175,,0,0,,No,No
330,120.475,,0,0,,No,No
331,120.525,,0,0,,No,No
332,121.025,,0,0,,No,No
333,121.225,,0,0,,No,No
334,121.275,,0,0,,No,No
335,123.9,,0,0,,No,No
336,124.925,,0,0,,No,No
337,126.075,,0,0,,No,No
338,126.775,,0,0,,No,No
339,126.875,,0,0,,No,No
340,127.1,,0,0,,No,No
341,127.425,,0,0,,No,No
342,127.7,,0,0,,No,No
343,127.825,,0,0,,No,No
344,127.875,,0,0,,No,No
345,128.125,,0,0,,No,No
346,128.1625,,0,0,,No,No
347,128.425,,0,0,,No,No
348,128.475,,0,0,,No,No
349,128.8125,,0,0,,No,No
350,129.025,,0,0,,No,No
351,129.05,,0,0,,No,No
352,129.075,,0,0,,No,No
353,129.2,,0,0,,No,No
354,129.275,,0,0,,No,No
355,129.375,,0,0,,No,No
356,129.425,,0,0,,No,No
357,129.6,,0,0,,No,No
358,130.925,,0,0,,No,No
359,131.125,,0,0,,No,No
360,132.3,,0,0,,No,No
361,132.6,,0,0,,No,No
362,131.05,,0,0,,No,No
363,132.8375,,0,0,,No,No
364,132.8625,,0,0,,No,No
365,132.95,,0,0,,No,No
366,133.075,,0,0,,No,No
367,133.175,,0,0,,No,No
368,133.45,,0,0,,No,No
369,133.525,,0,0,,No,No
370,133.975,,0,0,,No,No
371,134.125,,0,0,,No,No
372,134.25,,0,0,,No,No
373,134.4375,,0,0,,No,No
374,134.3875,,0,0,,No,No
375,134.4625,,0,0,,No,No
376,134.75,,0,0,,No,No
377,134.9,,0,0,,No,No
378,135.05,,0,0,,No,No
379,135.25,,0,0,,No,No
380,135.325,,0,0,,No,No
381,135.425,,0,0,,No,No
382,135.575,,0,0,,No,No
383,136.2,,0,0,,No,No
384,136.275,,0,0,,No,No
385,136.55,,0,0,,No,No
386,124.75,,0,0,,No,No
387,136.6,,0,0,,No,No
388,124.6,,0,0,,No,No
389,128.475,,0,0,,No,No
390,133.075,,0,0,,No,No
391,121.275,,0,0,,No,No
392,131.125,,0,0,,No,No
393,133.175,,0,0,,No,No
394,119.775,,0,0,,No,No
395,133.45,,0,0,,No,No
396,120.525,,0,0,,No,No
397,124.6,,0,0,,No,No
398,125.4625,,0,0,,No,No
399,135.375,,0,0,,No,No
400,128.6,,0,0,,No,No
401,126.6,,0,0,,No,No
402,135.475,,0,0,,No,No
403,180.9875,,0,0,,No,No
404,181.0125,,0,0,,No,No
405,181.15,,0,0,,No,No
406,181.1875,,0,0,,No,No
407,181.25,,0,0,,No,No
408,181.275,,0,0,,No,No
409,181.3,,0,0,,No,No
410,181.3375,,0,0,,No,No
411,181.4,,0,0,,No,No
412,181.425,,0,0,,No,No
413,181.45,,0,0,,No,No
414,181.4875,,0,0,,No,No
415,181.55,,0,0,,No,No
416,181.575,,0,0,,No,No
417,181.5875,,0,0,,No,No
418,181.6125,,0,0,,No,No
419,185.2625,,0,0,,No,No
420,185.3625,,0,0,,No,No
421,185.45,,0,0,,No,No
422,185.4625,,0,0,,No,No
423,185.4875,,0,0,,No,No
424,185.6375,,0,0,,No,No
425,185.7625,,0,0,,No,No
426,185.7875,,0,0,,No,No
427,185.9125,,0,0,,No,No
428,185.9375,,0,0,,No,No
429,186.0625,,0,0,,No,No
430,186.0875,,0,0,,No,No
431,186.2125,,0,0,,No,No
432,186.2375,,0,0,,No,No
433,186.2875,,0,0,,No,No
434,186.3375,,0,0,,No,No
435,186.6625,,0,0,,No,No
436,186.8375,,0,0,,No,No
437,186.8625,,0,0,,No,No
438,186.9875,,0,0,,No,No
439,187.1375,,0,0,,No,No
440,187.1625,,0,0,,No,No
441,187.1875,,0,0,,No,No
442,187.2625,,0,0,,No,No
443,187.2875,,0,0,,No,No
444,187.3125,,0,0,,No,No
445,187.4125,,0,0,,No,No
446,187.425,,0,0,,No,No
447,187.5625,,0,0,,No,No
448,187.6375,,0,0,,No,No
449,187.7375,,0,0,,No,No
450,187.8375,,0,0,,No,No
451,446.005,,0,0,,No,No
452,446.02,,0,0,,No,No
453,446.03,,0,0,,No,No
454,446.045,,0,0,,No,No
455,446.055,,0,0,,No,No
456,446.07,,0,0,,No,No
457,446.08,,0,0,,No,No
458,446.095,,0,0,,No,No
459,446.105,,0,0,,No,No
460,446.12,,0,0,,No,No
461,446.13,,0,0,,No,No
462,446.145,,0,0,,No,No
463,446.155,,0,0,,No,No
464,446.17,,0,0,,No,No
465,446.18,,0,0,,No,No
466,446.195,,0,0,,No,No
467,189.275,,0,0,,No,No
468,189.5,,0,0,,No,No
469,189.55,,0,0,,No,No
470,189.5875,,0,0,,No,No
471,181.075,,0,0,,No,No
472,189.925,,0,0,,No,No
473,190.1875,,0,0,,No,No
474,180.1875,,0,0,,No,No
475,180.1875,,0,0,,No,No
476,201.675,,0,0,,No,No
477,201.825,,0,0,,No,No
478,201.975,,0,0,,No,No
479,202.125,,0,0,,No,No
480,202.95,,0,0,,No,No
481,204.1,,0,0,,No,No
482,204.525,,0,0,,No,No
483,440.525,,0,0,,No,No
484,441.025,,0,0,,No,No
485,441.1,,0,0,,No,No
486,441.1875,,0,0,,No,No
487,441.3,,0,0,,No,No
488,441.825,,0,0,,No,No
489,441.8375,,0,0,,No,No
490,442.0875,,0,0,,No,No
491,442.2125,,0,0,,No,No
492,441.45,,0,0,,No,No
493,177.525,,0,0,,No,No
494,180.15,,0,0,,No,No
495,0.0,,0,0,,No,No
496,0.0,,0,0,,No,No
497,0.0,,0,0,,No,No
498,0.0,,0,0,,No,No
499,134.9,,0,0,,No,No
500,406.1,,0,0,,No,No
